image_size_mb,strategy,policy,num_sats,data_downloaded_gb
0.027,close-orbit-spaced,sticky,1,0.1657527490234375
0.027,close-orbit-spaced,fifo,1,0.1657527490234375
0.027,close-orbit-spaced,roundrobin,1,0.1657527490234375
0.027,close-orbit-spaced,random,1,0.1657527490234375
0.027,close-orbit-spaced,sticky,50,1.015131962890625
0.027,close-orbit-spaced,fifo,50,10.302766006835936
0.027,close-orbit-spaced,roundrobin,50,10.302536619140625
0.027,close-orbit-spaced,random,50,10.237164461914064
0.027,close-orbit-spaced,sticky,100,1.0143864873046877
0.027,close-orbit-spaced,fifo,100,19.75893399902344
0.027,close-orbit-spaced,roundrobin,100,19.71185456640625
0.027,close-orbit-spaced,random,100,18.940893247070314
0.027,close-orbit-spaced,sticky,200,1.013985078125
0.027,close-orbit-spaced,fifo,200,25.452052524414064
0.027,close-orbit-spaced,roundrobin,200,25.38469322265625
0.027,close-orbit-spaced,random,200,25.835395751953126
0.027,close-spaced,sticky,1,0.1657527490234375
0.027,close-spaced,fifo,1,0.1657527490234375
0.027,close-spaced,roundrobin,1,0.1657527490234375
0.027,close-spaced,random,1,0.1657527490234375
0.027,close-spaced,sticky,50,0.4127950908203125
0.027,close-spaced,fifo,50,8.269720682617187
0.027,close-spaced,roundrobin,50,8.269720682617187
0.027,close-spaced,random,50,7.982169255859374
0.027,close-spaced,sticky,100,0.41279404492187505
0.027,close-spaced,fifo,100,13.795007923828123
0.027,close-spaced,roundrobin,100,13.795007923828123
0.027,close-spaced,random,100,12.639492
0.027,close-spaced,sticky,200,0.41279392382812496
0.027,close-spaced,fifo,200,14.244988497070313
0.027,close-spaced,roundrobin,200,14.244988497070313
0.027,close-spaced,random,200,14.887337448242189
0.027,frame-spaced,sticky,1,0.1657527490234375
0.027,frame-spaced,fifo,1,0.1657527490234375
0.027,frame-spaced,roundrobin,1,0.1657527490234375
0.027,frame-spaced,random,1,0.1657527490234375
0.027,frame-spaced,sticky,50,2.90427329296875
0.027,frame-spaced,fifo,50,8.260459621093752
0.027,frame-spaced,roundrobin,50,8.260459621093752
0.027,frame-spaced,random,50,8.239643752929688
0.027,frame-spaced,sticky,100,5.6724295400390625
0.027,frame-spaced,fifo,100,16.37044870703125
0.027,frame-spaced,roundrobin,100,16.37044870703125
0.027,frame-spaced,random,100,14.4797902890625
0.027,frame-spaced,sticky,200,10.810599078125001
0.027,frame-spaced,fifo,200,22.549924948242186
0.027,frame-spaced,roundrobin,200,22.500499230468748
0.027,frame-spaced,random,200,22.102152185546874
0.027,orbit-spaced,sticky,1,0.1657527490234375
0.027,orbit-spaced,fifo,1,0.1657527490234375
0.027,orbit-spaced,roundrobin,1,0.1657527490234375
0.027,orbit-spaced,random,1,0.1657527490234375
0.027,orbit-spaced,sticky,50,8.917650302734376
0.027,orbit-spaced,fifo,50,9.162993610351563
0.027,orbit-spaced,roundrobin,50,9.020324106445312
0.027,orbit-spaced,random,50,9.163309413085937
0.027,orbit-spaced,sticky,100,17.511994833984375
0.027,orbit-spaced,fifo,100,18.3507634375
0.027,orbit-spaced,roundrobin,100,18.014184838867187
0.027,orbit-spaced,random,100,18.34649263964844
0.027,orbit-spaced,sticky,200,34.53074865039062
0.027,orbit-spaced,fifo,200,36.65840937207031
0.027,orbit-spaced,roundrobin,200,36.0019349921875
0.027,orbit-spaced,random,200,36.591632065429685
0.279,close-orbit-spaced,sticky,1,1.6575280263671877
0.279,close-orbit-spaced,fifo,1,1.6575280263671877
0.279,close-orbit-spaced,roundrobin,1,1.6575280263671877
0.279,close-orbit-spaced,random,1,1.6575280263671877
0.279,close-orbit-spaced,sticky,50,8.7528161953125
0.279,close-orbit-spaced,fifo,50,32.76524234570312
0.279,close-orbit-spaced,roundrobin,50,32.59676822363281
0.279,close-orbit-spaced,random,50,33.45286766796875
0.279,close-orbit-spaced,sticky,100,8.929436729492188
0.279,close-orbit-spaced,fifo,100,32.33088456347656
0.279,close-orbit-spaced,roundrobin,100,32.25481275683593
0.279,close-orbit-spaced,random,100,32.244872281250004
0.279,close-orbit-spaced,sticky,200,9.024904685546876
0.279,close-orbit-spaced,fifo,200,32.32539281542969
0.279,close-orbit-spaced,roundrobin,200,32.32539281542969
0.279,close-orbit-spaced,random,200,33.70992996484375
0.279,close-spaced,sticky,1,1.6575280263671877
0.279,close-spaced,fifo,1,1.6575280263671877
0.279,close-spaced,roundrobin,1,1.6575280263671877
0.279,close-spaced,random,1,1.6575280263671877
0.279,close-spaced,sticky,50,3.511459653320313
0.279,close-spaced,fifo,50,19.544289666992185
0.279,close-spaced,roundrobin,50,19.544289666992185
0.279,close-spaced,random,50,19.455942331054686
0.279,close-spaced,sticky,100,3.5114580673828124
0.279,close-spaced,fifo,100,21.153943856445313
0.279,close-spaced,roundrobin,100,21.153943856445313
0.279,close-spaced,random,100,20.537269318359378
0.279,close-spaced,sticky,200,3.511457825195313
0.279,close-spaced,fifo,200,21.250927301757812
0.279,close-spaced,roundrobin,200,21.250927301757812
0.279,close-spaced,random,200,21.064162702148437
0.279,frame-spaced,sticky,1,1.6575280263671877
0.279,frame-spaced,fifo,1,1.6575280263671877
0.279,frame-spaced,roundrobin,1,1.6575280263671877
0.279,frame-spaced,random,1,1.6575280263671877
0.279,frame-spaced,sticky,50,4.990315244140625
0.279,frame-spaced,fifo,50,22.01207836132813
0.279,frame-spaced,roundrobin,50,22.01207836132813
0.279,frame-spaced,random,50,21.795952912109378
0.279,frame-spaced,sticky,100,7.735751147460937
0.279,frame-spaced,fifo,100,26.19900459863281
0.279,frame-spaced,roundrobin,100,26.19900459863281
0.279,frame-spaced,random,100,25.800607903320312
0.279,frame-spaced,sticky,200,13.065118407226562
0.279,frame-spaced,fifo,200,32.0645254140625
0.279,frame-spaced,roundrobin,200,31.95922113769531
0.279,frame-spaced,random,200,32.065744043945315
0.279,orbit-spaced,sticky,1,1.6575280263671877
0.279,orbit-spaced,fifo,1,1.6575280263671877
0.279,orbit-spaced,roundrobin,1,1.6575280263671877
0.279,orbit-spaced,random,1,1.6575280263671877
0.279,orbit-spaced,sticky,50,89.04928721386719
0.279,orbit-spaced,fifo,50,91.63512527929687
0.279,orbit-spaced,roundrobin,50,90.20324847167969
0.279,orbit-spaced,random,50,91.63283193164062
0.279,orbit-spaced,sticky,100,170.80430402246094
0.279,orbit-spaced,fifo,100,183.14508307714846
0.279,orbit-spaced,roundrobin,100,180.10310115820312
0.279,orbit-spaced,random,100,182.91664404882812
0.279,orbit-spaced,sticky,200,163.19786333007812
0.279,orbit-spaced,fifo,200,243.1095184404297
0.279,orbit-spaced,roundrobin,200,238.88222642187498
0.279,orbit-spaced,random,200,268.3480471005859
2.799,close-orbit-spaced,sticky,1,16.57528295800781
2.799,close-orbit-spaced,fifo,1,16.57528295800781
2.799,close-orbit-spaced,roundrobin,1,16.57528295800781
2.799,close-orbit-spaced,random,1,16.57528295800781
2.799,close-orbit-spaced,sticky,50,33.18534386328125
2.799,close-orbit-spaced,fifo,50,34.27938097363281
2.799,close-orbit-spaced,roundrobin,50,34.27938097363281
2.799,close-orbit-spaced,random,50,33.34729094726562
2.799,close-orbit-spaced,sticky,100,33.382623935546874
2.799,close-orbit-spaced,fifo,100,34.49328272265625
2.799,close-orbit-spaced,roundrobin,100,34.49328272265625
2.799,close-orbit-spaced,random,100,33.673535768554686
2.799,close-orbit-spaced,sticky,200,33.46347646191406
2.799,close-orbit-spaced,fifo,200,34.58710970214844
2.799,close-orbit-spaced,roundrobin,200,34.58710970214844
2.799,close-orbit-spaced,random,200,33.606648679687495
2.799,close-spaced,sticky,1,16.57528295800781
2.799,close-spaced,fifo,1,16.57528295800781
2.799,close-spaced,roundrobin,1,16.57528295800781
2.799,close-spaced,random,1,16.57528295800781
2.799,close-spaced,sticky,50,17.76199776171875
2.799,close-spaced,fifo,50,23.01789735351563
2.799,close-spaced,roundrobin,50,23.01789735351563
2.799,close-spaced,random,50,23.022791196289063
2.799,close-spaced,sticky,100,17.761992516601563
2.799,close-spaced,fifo,100,23.017740274414063
2.799,close-spaced,roundrobin,100,23.017740274414063
2.799,close-spaced,random,100,23.020775625
2.799,close-spaced,sticky,200,17.761990931640625
2.799,close-spaced,fifo,200,23.00558001171875
2.799,close-spaced,roundrobin,200,23.00558001171875
2.799,close-spaced,random,200,23.03613977832031
2.799,frame-spaced,sticky,1,16.57528295800781
2.799,frame-spaced,fifo,1,16.57528295800781
2.799,frame-spaced,roundrobin,1,16.57528295800781
2.799,frame-spaced,random,1,16.57528295800781
2.799,frame-spaced,sticky,50,19.846138653320313
2.799,frame-spaced,fifo,50,26.248399796875
2.799,frame-spaced,roundrobin,50,26.248399796875
2.799,frame-spaced,random,50,26.37492424707031
2.799,frame-spaced,sticky,100,23.38694239941406
2.799,frame-spaced,fifo,100,29.481309546875
2.799,frame-spaced,roundrobin,100,29.481309546875
2.799,frame-spaced,random,100,29.999487434570312
2.799,frame-spaced,sticky,200,30.495650110351566
2.799,frame-spaced,fifo,200,34.72467151074218
2.799,frame-spaced,roundrobin,200,34.71914034667969
2.799,frame-spaced,random,200,36.69346535742187
2.799,orbit-spaced,sticky,1,16.57528295800781
2.799,orbit-spaced,fifo,1,16.57528295800781
2.799,orbit-spaced,roundrobin,1,16.57528295800781
2.799,orbit-spaced,random,1,16.57528295800781
2.799,orbit-spaced,sticky,50,283.78121226660153
2.799,orbit-spaced,fifo,50,271.1895469267578
2.799,orbit-spaced,roundrobin,50,267.9042735107422
2.799,orbit-spaced,random,50,292.4153062705078
2.799,orbit-spaced,sticky,100,283.1169547402344
2.799,orbit-spaced,fifo,100,263.2464006191407
2.799,orbit-spaced,roundrobin,100,260.03255251953124
2.799,orbit-spaced,random,100,295.07954916992185
2.799,orbit-spaced,sticky,200,282.05546737109375
2.799,orbit-spaced,fifo,200,257.8111235126953
2.799,orbit-spaced,roundrobin,200,255.8604710546875
2.799,orbit-spaced,random,200,299.2564279970703
28.0,close-orbit-spaced,sticky,1,22.942237357421874
28.0,close-orbit-spaced,fifo,1,22.942237357421874
28.0,close-orbit-spaced,roundrobin,1,22.942237357421874
28.0,close-orbit-spaced,random,1,22.942237357421874
28.0,close-orbit-spaced,sticky,50,34.31874968261719
28.0,close-orbit-spaced,fifo,50,34.31874968261719
28.0,close-orbit-spaced,roundrobin,50,34.31874968261719
28.0,close-orbit-spaced,random,50,33.13562589160156
28.0,close-orbit-spaced,sticky,100,34.527858156250005
28.0,close-orbit-spaced,fifo,100,34.527858156250005
28.0,close-orbit-spaced,roundrobin,100,34.527858156250005
28.0,close-orbit-spaced,random,100,33.44428997265625
28.0,close-orbit-spaced,sticky,200,34.62625788183594
28.0,close-orbit-spaced,fifo,200,34.62625788183594
28.0,close-orbit-spaced,roundrobin,200,34.62625788183594
28.0,close-orbit-spaced,random,200,33.560013917968746
28.0,close-spaced,sticky,1,22.942237357421874
28.0,close-spaced,fifo,1,22.942237357421874
28.0,close-spaced,roundrobin,1,22.942237357421874
28.0,close-spaced,random,1,22.942237357421874
28.0,close-spaced,sticky,50,22.983348429687503
28.0,close-spaced,fifo,50,22.983349513671875
28.0,close-spaced,roundrobin,50,22.983349513671875
28.0,close-spaced,random,50,22.98338189550781
28.0,close-spaced,sticky,100,22.98334658203125
28.0,close-spaced,fifo,100,22.983346973632813
28.0,close-spaced,roundrobin,100,22.983346973632813
28.0,close-spaced,random,100,22.9834040390625
28.0,close-spaced,sticky,200,22.983346083984376
28.0,close-spaced,fifo,200,22.98334630371094
28.0,close-spaced,roundrobin,200,22.98334630371094
28.0,close-spaced,random,200,22.983401956054685
28.0,frame-spaced,sticky,1,22.942237357421874
28.0,frame-spaced,fifo,1,22.942237357421874
28.0,frame-spaced,roundrobin,1,22.942237357421874
28.0,frame-spaced,random,1,22.942237357421874
28.0,frame-spaced,sticky,50,25.5695567265625
28.0,frame-spaced,fifo,50,26.437161921875
28.0,frame-spaced,roundrobin,50,26.437161921875
28.0,frame-spaced,random,50,26.742654806640626
28.0,frame-spaced,sticky,100,28.31387529296875
28.0,frame-spaced,fifo,100,29.749766362304683
28.0,frame-spaced,roundrobin,100,29.749766362304683
28.0,frame-spaced,random,100,30.012169593750002
28.0,frame-spaced,sticky,200,33.907633619140626
28.0,frame-spaced,fifo,200,35.08958465625
28.0,frame-spaced,roundrobin,200,34.49992060058594
28.0,frame-spaced,random,200,36.2259752734375
