strategy,policy,num_sats,image_size_kb,idle_hours
Close,sticky,50,279,999.0861111111111
Close,fifo,50,279,998.3555555555556
Close,roundrobin,50,279,998.3555555555556
Close,random,50,279,998.3972222222222
Orbit,sticky,50,279,980.075
Orbit,fifo,50,279,953.275
Orbit,roundrobin,50,279,979.875
Orbit,random,50,279,953.25
Frame,sticky,50,279,998.7638888888889
Frame,fifo,50,279,997.8055555555555
Frame,roundrobin,50,279,997.8055555555555
Frame,random,50,279,997.9138888888889
Close-Orbit,sticky,50,279,998.2472222222223
Close-Orbit,fifo,50,279,998.1111111111111
Close-Orbit,roundrobin,50,279,998.1083333333333
Close-Orbit,random,50,279,998.1416666666667
Close,sticky,1,2799,18.444444444444443
Close,fifo,1,2799,18.444444444444443
Close,roundrobin,1,2799,18.444444444444443
Close,random,1,2799,18.444444444444443
Orbit,sticky,1,2799,18.444444444444443
Orbit,fifo,1,2799,18.444444444444443
Orbit,roundrobin,1,2799,18.444444444444443
Orbit,random,1,2799,18.444444444444443
Frame,sticky,1,2799,18.444444444444443
Frame,fifo,1,2799,18.444444444444443
Frame,roundrobin,1,2799,18.444444444444443
Frame,random,1,2799,18.444444444444443
Close-Orbit,sticky,1,2799,18.444444444444443
Close-Orbit,fifo,1,2799,18.444444444444443
Close-Orbit,roundrobin,1,2799,18.444444444444443
Close-Orbit,random,1,2799,18.444444444444443
Close,sticky,100,279,1999.7583333333334
Close,fifo,100,279,1999.2972222222222
Close,roundrobin,100,279,1999.2972222222222
Close,random,100,279,1999.2083333333333
Orbit,sticky,100,279,1980.2277777777779
Orbit,fifo,100,279,1966.3333333333333
Orbit,roundrobin,100,279,1979.7166666666667
Orbit,random,100,279,1966.4333333333334
Frame,sticky,100,279,1999.1027777777779
Frame,fifo,100,279,1998.3111111111111
Frame,roundrobin,100,279,1998.3111111111111
Frame,random,100,279,1998.2416666666666
Close-Orbit,sticky,100,279,1998.7666666666667
Close-Orbit,fifo,100,279,1998.6527777777778
Close-Orbit,roundrobin,100,279,1998.638888888889
Close-Orbit,random,100,279,1998.6916666666666
Close,sticky,50,28000,999.1
Close,fifo,50,28000,999.1
Close,roundrobin,50,28000,999.1
Close,random,50,28000,999.1
Orbit,sticky,50,28000,980.5944444444444
Orbit,fifo,50,28000,980.5944444444444
Orbit,roundrobin,50,28000,980.6055555555556
Orbit,random,50,28000,980.5888888888888
Frame,sticky,50,28000,998.7777777777778
Frame,fifo,50,28000,998.775
Frame,roundrobin,50,28000,998.775
Frame,random,50,28000,998.775
Close-Orbit,sticky,50,28000,998.2666666666667
Close-Orbit,fifo,50,28000,998.2666666666667
Close-Orbit,roundrobin,50,28000,998.2666666666667
Close-Orbit,random,50,28000,998.2666666666667
Close,sticky,50,2799,999.0944444444444
Close,fifo,50,2799,999.05
Close,roundrobin,50,2799,999.05
Close,random,50,2799,999.0527777777778
Orbit,sticky,50,2799,980.5611111111111
Orbit,fifo,50,2799,979.3583333333333
Orbit,roundrobin,50,2799,980.5138888888889
Orbit,random,50,2799,979.3555555555556
Frame,sticky,50,2799,998.7638888888889
Frame,fifo,50,2799,998.7055555555555
Frame,roundrobin,50,2799,998.7055555555555
Frame,random,50,2799,998.7
Close-Orbit,sticky,50,2799,998.2611111111111
Close-Orbit,fifo,50,2799,998.2555555555556
Close-Orbit,roundrobin,50,2799,998.2555555555556
Close-Orbit,random,50,2799,998.2638888888889
Close,sticky,100,2799,1999.7666666666667
Close,fifo,100,2799,1999.7222222222222
Close,roundrobin,100,2799,1999.7222222222222
Close,random,100,2799,1999.7277777777779
Orbit,sticky,100,2799,1981.1638888888888
Orbit,fifo,100,2799,1980.6888888888889
Orbit,roundrobin,100,2799,1981.05
Orbit,random,100,2799,1980.611111111111
Frame,sticky,100,2799,1999.1055555555556
Frame,fifo,100,2799,1999.0194444444444
Frame,roundrobin,100,2799,1999.0194444444444
Frame,random,100,2799,1999.0222222222221
Close-Orbit,sticky,100,2799,1998.7833333333333
Close-Orbit,fifo,100,2799,1998.7777777777778
Close-Orbit,roundrobin,100,2799,1998.7777777777778
Close-Orbit,random,100,2799,1998.786111111111
Close,sticky,200,28000,4001.108333333333
Close,fifo,200,28000,4001.108333333333
Close,roundrobin,200,28000,4001.108333333333
Close,random,200,28000,4001.108333333333
Orbit,sticky,200,28000,3982.336111111111
Orbit,fifo,200,28000,3982.336111111111
Orbit,roundrobin,200,28000,3982.3333333333335
Orbit,random,200,28000,3982.3305555555557
Frame,sticky,200,28000,3999.758333333333
Frame,fifo,200,28000,3999.75
Frame,roundrobin,200,28000,3999.7555555555555
Frame,random,200,28000,3999.7527777777777
Close-Orbit,sticky,200,28000,3999.866666666667
Close-Orbit,fifo,200,28000,3999.866666666667
Close-Orbit,roundrobin,200,28000,3999.866666666667
Close-Orbit,random,200,28000,3999.866666666667
Close,sticky,200,27,4001.0916666666667
Close,fifo,200,27,3999.6222222222223
Close,roundrobin,200,27,3999.6222222222223
Close,random,200,27,3999.722222222222
Orbit,sticky,200,27,3980.391666666667
Orbit,fifo,200,27,3947.1027777777776
Orbit,roundrobin,200,27,3979.4527777777776
Orbit,random,200,27,3946.6444444444446
Frame,sticky,200,27,3999.197222222222
Frame,fifo,200,27,3997.5
Frame,roundrobin,200,27,3997.463888888889
Frame,random,200,27,3997.425
Close-Orbit,sticky,200,27,3999.847222222222
Close-Orbit,fifo,200,27,3998.2166666666667
Close-Orbit,roundrobin,200,27,3998.211111111111
Close-Orbit,random,200,27,3998.4305555555557
Close,sticky,100,27,1999.7555555555555
Close,fifo,100,27,1998.2777777777778
Close,roundrobin,100,27,1998.2777777777778
Close,random,100,27,1998.1
Orbit,sticky,100,27,1980.1916666666666
Orbit,fifo,100,27,1943.2583333333334
Orbit,roundrobin,100,27,1979.7166666666667
Orbit,random,100,27,1943.3777777777777
Frame,sticky,100,27,1998.8333333333333
Frame,fifo,100,27,1996.7027777777778
Frame,roundrobin,100,27,1996.7027777777778
Frame,random,100,27,1996.6638888888888
Close-Orbit,sticky,100,27,1998.7666666666667
Close-Orbit,fifo,100,27,1996.3
Close-Orbit,roundrobin,100,27,1996.2916666666667
Close-Orbit,random,100,27,1996.4277777777777
Close,sticky,1,27,18.444444444444443
Close,fifo,1,27,18.444444444444443
Close,roundrobin,1,27,18.444444444444443
Close,random,1,27,18.444444444444443
Orbit,sticky,1,27,18.444444444444443
Orbit,fifo,1,27,18.444444444444443
Orbit,roundrobin,1,27,18.444444444444443
Orbit,random,1,27,18.444444444444443
Frame,sticky,1,27,18.444444444444443
Frame,fifo,1,27,18.444444444444443
Frame,roundrobin,1,27,18.444444444444443
Frame,random,1,27,18.444444444444443
Close-Orbit,sticky,1,27,18.444444444444443
Close-Orbit,fifo,1,27,18.444444444444443
Close-Orbit,roundrobin,1,27,18.444444444444443
Close-Orbit,random,1,27,18.444444444444443
Close,sticky,200,2799,4001.1027777777776
Close,fifo,200,2799,4001.0583333333334
Close,roundrobin,200,2799,4001.0583333333334
Close,random,200,2799,4001.063888888889
Orbit,sticky,200,2799,3982.313888888889
Orbit,fifo,200,2799,3982.1222222222223
Orbit,roundrobin,200,2799,3982.1944444444443
Orbit,random,200,2799,3982.011111111111
Frame,sticky,200,2799,3999.741666666667
Frame,fifo,200,2799,3999.616666666667
Frame,roundrobin,200,2799,3999.6027777777776
Frame,random,200,2799,3999.6
Close-Orbit,sticky,200,2799,3999.863888888889
Close-Orbit,fifo,200,2799,3999.8555555555554
Close-Orbit,roundrobin,200,2799,3999.8555555555554
Close-Orbit,random,200,2799,3999.863888888889
Close,sticky,200,279,4001.0944444444444
Close,fifo,200,279,4000.6833333333334
Close,roundrobin,200,279,4000.6833333333334
Close,random,200,279,4000.6388888888887
Orbit,sticky,200,279,3981.9166666666665
Orbit,fifo,200,279,3978.2805555555556
Orbit,roundrobin,200,279,3981.358333333333
Orbit,random,200,279,3977.0833333333335
Frame,sticky,200,279,3999.733333333333
Frame,fifo,200,279,3999.011111111111
Frame,roundrobin,200,279,3998.891666666667
Frame,random,200,279,3998.902777777778
Close-Orbit,sticky,200,279,3999.847222222222
Close-Orbit,fifo,200,279,3999.738888888889
Close-Orbit,roundrobin,200,279,3999.738888888889
Close-Orbit,random,200,279,3999.7722222222224
Close,sticky,100,28000,1999.7722222222221
Close,fifo,100,28000,1999.7722222222221
Close,roundrobin,100,28000,1999.7722222222221
Close,random,100,28000,1999.7722222222221
Orbit,sticky,100,28000,1981.175
Orbit,fifo,100,28000,1981.175
