image_size_mb,strategy,policy,num_sats,data_downloaded_gb
0.027,close-orbit-spaced,sticky,1,0.1657527490234375
0.027,close-orbit-spaced,fifo,1,0.1657527490234375
0.027,close-orbit-spaced,roundrobin,1,0.1657527490234375
0.027,close-orbit-spaced,random,1,0.1657527490234375
0.027,close-orbit-spaced,sticky,25,4.566186693359374
0.027,close-orbit-spaced,fifo,25,4.566157271484375
0.027,close-orbit-spaced,roundrobin,25,4.519967446289062
0.027,close-orbit-spaced,random,25,4.566099927734375
0.027,close-orbit-spaced,sticky,50,7.801448844726563
0.027,close-orbit-spaced,fifo,50,9.133748232421874
0.027,close-orbit-spaced,roundrobin,50,8.991394047851564
0.027,close-orbit-spaced,random,50,9.133777348632812
0.027,close-orbit-spaced,sticky,100,10.061002915039062
0.027,close-orbit-spaced,fifo,100,18.318728802734377
0.027,close-orbit-spaced,roundrobin,100,18.31847069628906
0.027,close-orbit-spaced,random,100,18.353230478515627
0.027,close-orbit-spaced,sticky,200,9.848113338867186
0.027,close-orbit-spaced,fifo,200,36.52117788671875
0.027,close-orbit-spaced,roundrobin,200,36.49823822460937
0.027,close-orbit-spaced,random,200,36.54776376953125
0.027,close-spaced,sticky,1,0.1657527490234375
0.027,close-spaced,fifo,1,0.1657527490234375
0.027,close-spaced,roundrobin,1,0.1657527490234375
0.027,close-spaced,random,1,0.1657527490234375
0.027,close-spaced,sticky,25,0.4011633369140626
0.027,close-spaced,fifo,25,4.1393478671874995
0.027,close-spaced,roundrobin,25,4.1393478671874995
0.027,close-spaced,random,25,4.1370537363281255
0.027,close-spaced,sticky,50,0.4127950908203125
0.027,close-spaced,fifo,50,8.269720682617187
0.027,close-spaced,roundrobin,50,8.269720682617187
0.027,close-spaced,random,50,7.982169255859374
0.027,close-spaced,sticky,100,0.41279404492187505
0.027,close-spaced,fifo,100,13.795007923828123
0.027,close-spaced,roundrobin,100,13.795007923828123
0.027,close-spaced,random,100,12.639492
0.027,close-spaced,sticky,200,0.41279392382812496
0.027,close-spaced,fifo,200,14.244988497070313
0.027,close-spaced,roundrobin,200,14.244988497070313
0.027,close-spaced,random,200,14.887337448242189
0.027,frame-spaced,sticky,1,0.1657527490234375
0.027,frame-spaced,fifo,1,0.1657527490234375
0.027,frame-spaced,roundrobin,1,0.1657527490234375
0.027,frame-spaced,random,1,0.1657527490234375
0.027,frame-spaced,sticky,25,1.5131008681640625
0.027,frame-spaced,fifo,25,4.137627518554687
0.027,frame-spaced,roundrobin,25,4.137627518554687
0.027,frame-spaced,random,25,4.134387229492187
0.027,frame-spaced,sticky,50,2.90427329296875
0.027,frame-spaced,fifo,50,8.260459621093752
0.027,frame-spaced,roundrobin,50,8.260459621093752
0.027,frame-spaced,random,50,8.239643752929688
0.027,frame-spaced,sticky,100,5.6724295400390625
0.027,frame-spaced,fifo,100,16.37044870703125
0.027,frame-spaced,roundrobin,100,16.37044870703125
0.027,frame-spaced,random,100,14.4797902890625
0.027,frame-spaced,sticky,200,10.810599078125001
0.027,frame-spaced,fifo,200,22.549924948242186
0.027,frame-spaced,roundrobin,200,22.500499230468748
0.027,frame-spaced,random,200,22.102152185546874
0.027,orbit-spaced,sticky,1,0.1657527490234375
0.027,orbit-spaced,fifo,1,0.1657527490234375
0.027,orbit-spaced,roundrobin,1,0.1657527490234375
0.027,orbit-spaced,random,1,0.1657527490234375
0.027,orbit-spaced,sticky,25,4.566186693359374
0.027,orbit-spaced,fifo,25,4.566157271484375
0.027,orbit-spaced,roundrobin,25,4.519967446289062
0.027,orbit-spaced,random,25,4.566099927734375
0.027,orbit-spaced,sticky,50,8.917650302734376
0.027,orbit-spaced,fifo,50,9.162993610351563
0.027,orbit-spaced,roundrobin,50,9.020324106445312
0.027,orbit-spaced,random,50,9.163309413085937
0.027,orbit-spaced,sticky,100,17.511994833984375
0.027,orbit-spaced,fifo,100,18.3507634375
0.027,orbit-spaced,roundrobin,100,18.014184838867187
0.027,orbit-spaced,random,100,18.34649263964844
0.027,orbit-spaced,sticky,200,34.53074865039062
0.027,orbit-spaced,fifo,200,36.65840937207031
0.027,orbit-spaced,roundrobin,200,36.0019349921875
0.027,orbit-spaced,random,200,36.591632065429685
0.279,close-orbit-spaced,sticky,1,1.6575280263671877
0.279,close-orbit-spaced,fifo,1,1.6575280263671877
0.279,close-orbit-spaced,roundrobin,1,1.6575280263671877
0.279,close-orbit-spaced,random,1,1.6575280263671877
0.279,close-orbit-spaced,sticky,25,45.29875451269531
0.279,close-orbit-spaced,fifo,25,45.661586225585935
0.279,close-orbit-spaced,roundrobin,25,45.19968162402344
0.279,close-orbit-spaced,random,25,45.661012798828125
0.279,close-orbit-spaced,sticky,50,77.18499405371094
0.279,close-orbit-spaced,fifo,50,91.33664942285156
0.279,close-orbit-spaced,roundrobin,50,90.09314794433594
0.279,close-orbit-spaced,random,50,91.33435647949219
0.279,close-orbit-spaced,sticky,100,100.61003649121093
0.279,close-orbit-spaced,fifo,100,182.670300859375
0.279,close-orbit-spaced,roundrobin,100,182.65912854589845
0.279,close-orbit-spaced,random,100,182.68120665917968
0.279,close-orbit-spaced,sticky,200,98.48114070703126
0.279,close-orbit-spaced,fifo,200,270.2771888496094
0.279,close-orbit-spaced,roundrobin,200,269.7056403007813
0.279,close-orbit-spaced,random,200,272.4184157626953
0.279,close-spaced,sticky,1,1.6575280263671877
0.279,close-spaced,fifo,1,1.6575280263671877
0.279,close-spaced,roundrobin,1,1.6575280263671877
0.279,close-spaced,random,1,1.6575280263671877
0.279,close-spaced,sticky,25,3.4998284414062497
0.279,close-spaced,fifo,25,18.257368934570312
0.279,close-spaced,roundrobin,25,18.257368934570312
0.279,close-spaced,random,25,18.218946532226564
0.279,close-spaced,sticky,50,3.511459653320313
0.279,close-spaced,fifo,50,19.544289666992185
0.279,close-spaced,roundrobin,50,19.544289666992185
0.279,close-spaced,random,50,19.455942331054686
0.279,close-spaced,sticky,100,3.5114580673828124
0.279,close-spaced,fifo,100,21.153943856445313
0.279,close-spaced,roundrobin,100,21.153943856445313
0.279,close-spaced,random,100,20.537269318359378
0.279,close-spaced,sticky,200,3.511457825195313
0.279,close-spaced,fifo,200,21.250927301757812
0.279,close-spaced,roundrobin,200,21.250927301757812
0.279,close-spaced,random,200,21.064162702148437
0.279,frame-spaced,sticky,1,1.6575280263671877
0.279,frame-spaced,fifo,1,1.6575280263671877
0.279,frame-spaced,roundrobin,1,1.6575280263671877
0.279,frame-spaced,random,1,1.6575280263671877
0.279,frame-spaced,sticky,25,3.2828871923828125
0.279,frame-spaced,fifo,25,19.495050591796875
0.279,frame-spaced,roundrobin,25,19.495050591796875
0.279,frame-spaced,random,25,19.401153283203126
0.279,frame-spaced,sticky,50,4.990315244140625
0.279,frame-spaced,fifo,50,22.01207836132813
0.279,frame-spaced,roundrobin,50,22.01207836132813
0.279,frame-spaced,random,50,21.795952912109378
0.279,frame-spaced,sticky,100,7.735751147460937
0.279,frame-spaced,fifo,100,26.19900459863281
0.279,frame-spaced,roundrobin,100,26.19900459863281
0.279,frame-spaced,random,100,25.800607903320312
0.279,frame-spaced,sticky,200,13.065118407226562
0.279,frame-spaced,fifo,200,32.0645254140625
0.279,frame-spaced,roundrobin,200,31.95922113769531
0.279,frame-spaced,random,200,32.065744043945315
0.279,orbit-spaced,sticky,1,1.6575280263671877
0.279,orbit-spaced,fifo,1,1.6575280263671877
0.279,orbit-spaced,roundrobin,1,1.6575280263671877
0.279,orbit-spaced,random,1,1.6575280263671877
0.279,orbit-spaced,sticky,25,45.29875451269531
0.279,orbit-spaced,fifo,25,45.661586225585935
0.279,orbit-spaced,roundrobin,25,45.19968162402344
0.279,orbit-spaced,random,25,45.661012798828125
0.279,orbit-spaced,sticky,50,89.04928721386719
0.279,orbit-spaced,fifo,50,91.63512527929687
0.279,orbit-spaced,roundrobin,50,90.20324847167969
0.279,orbit-spaced,random,50,91.63283193164062
0.279,orbit-spaced,sticky,100,170.80430402246094
0.279,orbit-spaced,fifo,100,183.14508307714846
0.279,orbit-spaced,roundrobin,100,180.10310115820312
0.279,orbit-spaced,random,100,182.91664404882812
0.279,orbit-spaced,sticky,200,163.19786333007812
0.279,orbit-spaced,fifo,200,243.1095184404297
0.279,orbit-spaced,roundrobin,200,238.88222642187498
0.279,orbit-spaced,random,200,268.3480471005859
2.799,close-orbit-spaced,sticky,1,16.57528295800781
2.799,close-orbit-spaced,fifo,1,16.57528295800781
2.799,close-orbit-spaced,roundrobin,1,16.57528295800781
2.799,close-orbit-spaced,random,1,16.57528295800781
2.799,close-orbit-spaced,sticky,25,279.0548189814453
2.799,close-orbit-spaced,fifo,25,282.2460306738281
2.799,close-orbit-spaced,roundrobin,25,279.9706449814453
2.799,close-orbit-spaced,random,25,282.2402962724609
2.799,close-orbit-spaced,sticky,50,279.53130506445314
2.799,close-orbit-spaced,fifo,50,293.56630253906246
2.799,close-orbit-spaced,roundrobin,50,290.5553966435547
2.799,close-orbit-spaced,random,50,293.8248909306641
2.799,close-orbit-spaced,sticky,100,279.3450731611328
2.799,close-orbit-spaced,fifo,100,298.83933798535156
2.799,close-orbit-spaced,roundrobin,100,296.99752215429686
2.799,close-orbit-spaced,random,100,299.0913301699219
2.799,close-orbit-spaced,sticky,200,278.91649465136715
2.799,close-orbit-spaced,fifo,200,300.1649661816406
2.799,close-orbit-spaced,roundrobin,200,298.4485437529297
2.799,close-orbit-spaced,random,200,299.79336241796875
2.799,close-spaced,sticky,1,16.57528295800781
2.799,close-spaced,fifo,1,16.57528295800781
2.799,close-spaced,roundrobin,1,16.57528295800781
2.799,close-spaced,random,1,16.57528295800781
2.799,close-spaced,sticky,25,17.76200516894531
2.799,close-spaced,fifo,25,23.00156523730469
2.799,close-spaced,roundrobin,25,23.00156523730469
2.799,close-spaced,random,25,22.97275621875
2.799,close-spaced,sticky,50,17.76199776171875
2.799,close-spaced,fifo,50,23.01789735351563
2.799,close-spaced,roundrobin,50,23.01789735351563
2.799,close-spaced,random,50,23.022791196289063
2.799,close-spaced,sticky,100,17.761992516601563
2.799,close-spaced,fifo,100,23.017740274414063
2.799,close-spaced,roundrobin,100,23.017740274414063
2.799,close-spaced,random,100,23.020775625
2.799,close-spaced,sticky,200,17.761990931640625
2.799,close-spaced,fifo,200,23.00558001171875
2.799,close-spaced,roundrobin,200,23.00558001171875
2.799,close-spaced,random,200,23.03613977832031
2.799,frame-spaced,sticky,1,16.57528295800781
2.799,frame-spaced,fifo,1,16.57528295800781
2.799,frame-spaced,roundrobin,1,16.57528295800781
2.799,frame-spaced,random,1,16.57528295800781
2.799,frame-spaced,sticky,25,18.16967637890625
2.799,frame-spaced,fifo,25,24.59697085644531
2.799,frame-spaced,roundrobin,25,24.59697085644531
2.799,frame-spaced,random,25,24.568574370117187
2.799,frame-spaced,sticky,50,19.846138653320313
2.799,frame-spaced,fifo,50,26.248399796875
2.799,frame-spaced,roundrobin,50,26.248399796875
2.799,frame-spaced,random,50,26.37492424707031
2.799,frame-spaced,sticky,100,23.38694239941406
2.799,frame-spaced,fifo,100,29.481309546875
2.799,frame-spaced,roundrobin,100,29.481309546875
2.799,frame-spaced,random,100,29.999487434570312
2.799,frame-spaced,sticky,200,30.495650110351566
2.799,frame-spaced,fifo,200,34.72467151074218
2.799,frame-spaced,roundrobin,200,34.71914034667969
2.799,frame-spaced,random,200,36.69346535742187
2.799,orbit-spaced,sticky,1,16.57528295800781
2.799,orbit-spaced,fifo,1,16.57528295800781
2.799,orbit-spaced,roundrobin,1,16.57528295800781
2.799,orbit-spaced,random,1,16.57528295800781
2.799,orbit-spaced,sticky,25,279.0548189814453
2.799,orbit-spaced,fifo,25,282.2460306738281
2.799,orbit-spaced,roundrobin,25,279.9706449814453
2.799,orbit-spaced,random,25,282.2402962724609
2.799,orbit-spaced,sticky,50,283.78121226660153
2.799,orbit-spaced,fifo,50,271.1895469267578
2.799,orbit-spaced,roundrobin,50,267.9042735107422
2.799,orbit-spaced,random,50,292.4153062705078
2.799,orbit-spaced,sticky,100,283.1169547402344
2.799,orbit-spaced,fifo,100,263.2464006191407
2.799,orbit-spaced,roundrobin,100,260.03255251953124
2.799,orbit-spaced,random,100,295.07954916992185
2.799,orbit-spaced,sticky,200,282.05546737109375
2.799,orbit-spaced,fifo,200,257.8111235126953
2.799,orbit-spaced,roundrobin,200,255.8604710546875
