image_size_mb,strategy,policy,num_sats,sim_duration,productive_time,total_idle_time,total_idle_pct,total_connected_events,connected_idle_events,connected_idle_pct
0.027,close-orbit-spaced,sticky,1,21600,12,21588,99.94444444444444,1673,1661,99.28272564255828
0.027,close-orbit-spaced,fifo,1,21600,12,21588,99.94444444444444,568,556,97.88732394366197
0.027,close-orbit-spaced,roundrobin,1,21600,12,21588,99.94444444444444,1673,1661,99.28272564255828
0.027,close-orbit-spaced,random,1,21600,12,21588,99.94444444444444,568,556,97.88732394366197
0.027,close-orbit-spaced,sticky,25,21600,247,21353,98.85648148148148,21597,21350,98.85632263740334
0.027,close-orbit-spaced,fifo,25,21600,330,21270,98.47222222222223,13679,13349,97.58754294904598
0.027,close-orbit-spaced,roundrobin,25,21600,330,21270,98.47222222222223,21579,21249,98.47073543723064
0.027,close-orbit-spaced,random,25,21600,330,21270,98.47222222222223,13662,13332,97.58454106280193
0.027,close-orbit-spaced,sticky,50,21600,431,21169,98.00462962962962,21597,21166,98.00435245635968
0.027,close-orbit-spaced,fifo,50,21600,660,20940,96.94444444444444,20737,20077,96.81728311713363
0.027,close-orbit-spaced,roundrobin,50,21600,660,20940,96.94444444444444,21581,20921,96.94175432093046
0.027,close-orbit-spaced,random,50,21600,660,20940,96.94444444444444,20744,20084,96.81835711531045
0.027,close-orbit-spaced,sticky,100,21600,583,21017,97.30092592592592,21597,21014,97.30055100245406
0.027,close-orbit-spaced,fifo,100,21600,1324,20276,93.87037037037037,21597,20273,93.86951891466407
0.027,close-orbit-spaced,roundrobin,100,21600,1324,20276,93.87037037037037,21600,20276,93.87037037037037
0.027,close-orbit-spaced,random,100,21600,1319,20281,93.89351851851852,21597,20278,93.89267027827938
0.027,close-orbit-spaced,sticky,200,21600,576,21024,97.33333333333334,21597,21021,97.33296291151548
0.027,close-orbit-spaced,fifo,200,21600,2494,19106,88.4537037037037,21597,19103,88.4520998286799
0.027,close-orbit-spaced,roundrobin,200,21600,2479,19121,88.52314814814815,21600,19121,88.52314814814815
0.027,close-orbit-spaced,random,200,21600,2470,19130,88.56481481481482,21597,19127,88.56322637403343
0.027,close-spaced,sticky,1,21600,12,21588,99.94444444444444,1673,1661,99.28272564255828
0.027,close-spaced,fifo,1,21600,12,21588,99.94444444444444,568,556,97.88732394366197
0.027,close-spaced,roundrobin,1,21600,12,21588,99.94444444444444,1673,1661,99.28272564255828
0.027,close-spaced,random,1,21600,12,21588,99.94444444444444,568,556,97.88732394366197
0.027,close-spaced,sticky,25,21600,30,21570,99.86111111111111,1677,1647,98.21109123434705
0.027,close-spaced,fifo,25,21600,249,21351,98.84722222222221,1677,1428,85.1520572450805
0.027,close-spaced,roundrobin,25,21600,249,21351,98.84722222222221,1677,1428,85.1520572450805
0.027,close-spaced,random,25,21600,250,21350,98.8425925925926,1677,1427,85.09242695289207
0.027,close-spaced,sticky,50,21600,31,21569,99.85648148148148,1677,1646,98.15146094215862
0.027,close-spaced,fifo,50,21600,474,21126,97.80555555555556,1677,1203,71.73524150268337
0.027,close-spaced,roundrobin,50,21600,474,21126,97.80555555555556,1677,1203,71.73524150268337
0.027,close-spaced,random,50,21600,470,21130,97.82407407407408,1677,1207,71.97376267143709
0.027,close-spaced,sticky,100,21600,31,21569,99.85648148148148,1677,1646,98.15146094215862
0.027,close-spaced,fifo,100,21600,838,20762,96.12037037037037,1677,839,50.029815146094215
