image_size_mb,policy,num_sats,orbital_spacing_deg,data_downloaded_gb
0.027,sticky,1,360.0,0.1657527490234375
0.027,fifo,1,360.0,0.1657527490234375
0.027,roundrobin,1,360.0,0.1657527490234375
0.027,random,1,360.0,0.1657527490234375
0.027,sticky,10,36.0,1.8426625800781251
0.027,fifo,10,36.0,1.8426625800781251
0.027,roundrobin,10,36.0,1.8426625800781251
0.027,random,10,36.0,1.8426625800781251
0.027,sticky,15,24.0,2.751679359375
0.027,fifo,15,24.0,2.75165058984375
0.027,roundrobin,15,24.0,2.7445400419921877
0.027,random,15,24.0,2.7515359033203124
0.027,sticky,17,21.176470588235293,3.0817513847656253
0.027,fifo,17,21.176470588235293,3.131869806640625
0.027,roundrobin,17,21.176470588235293,3.117189982421875
0.027,random,17,21.176470588235293,3.1318411367187498
0.027,sticky,18,20.0,3.275946828125
0.027,fifo,18,20.0,3.325491737304687
0.027,roundrobin,18,20.0,3.307600708984375
0.027,random,18,20.0,3.32540572265625
0.027,sticky,19,18.94736842105263,3.466931005859375
0.027,fifo,19,18.94736842105263,3.466901956054688
0.027,roundrobin,19,18.94736842105263,3.4443087949218745
0.027,random,19,18.94736842105263,3.4669019589843746
0.027,sticky,20,18.0,3.660725040039063
0.027,fifo,20,18.0,3.6606959238281247
0.027,roundrobin,20,18.0,3.6341174160156253
0.027,random,20,18.0,3.6606385810546875
0.027,sticky,25,14.4,4.566186693359374
0.027,fifo,25,14.4,4.566157271484375
0.027,roundrobin,25,14.4,4.519967446289062
0.027,random,25,14.4,4.566099927734375
0.027,sticky,50,7.2,8.917650302734376
0.027,fifo,50,7.2,9.162993610351563
0.027,roundrobin,50,7.2,9.020324106445312
0.027,random,50,7.2,9.163309413085937
0.027,sticky,100,3.6,17.511994833984375
0.027,fifo,100,3.6,18.3507634375
0.027,roundrobin,100,3.6,18.014184838867187
0.027,random,100,3.6,18.34649263964844
0.027,sticky,200,1.8,34.53074865039062
0.027,fifo,200,1.8,36.65840937207031
0.027,roundrobin,200,1.8,36.0019349921875
0.027,random,200,1.8,36.591632065429685
0.279,sticky,1,360.0,1.6575280263671877
0.279,fifo,1,360.0,1.6575280263671877
0.279,roundrobin,1,360.0,1.6575280263671877
0.279,random,1,360.0,1.6575280263671877
0.279,sticky,10,36.0,18.426631163085936
0.279,fifo,10,36.0,18.426631163085936
0.279,roundrobin,10,36.0,18.426631163085936
0.279,random,10,36.0,18.426631163085936
0.279,sticky,15,24.0,27.51680071484375
0.279,fifo,15,24.0,27.516513931640624
0.279,roundrobin,15,24.0,27.44540743457031
0.279,random,15,24.0,27.5162272109375
0.279,sticky,17,21.176470588235293,30.817521026367185
0.279,fifo,17,21.176470588235293,31.318707261718746
0.279,roundrobin,17,21.176470588235293,31.17190693847656
0.279,random,17,21.176470588235293,31.318420552734374
0.279,sticky,18,20.0,32.75947539453125
0.279,fifo,18,20.0,33.05359589550781
0.279,roundrobin,18,20.0,32.8666548984375
0.279,random,18,20.0,33.05273575195312
0.279,sticky,19,18.94736842105263,34.66931711230468
0.279,fifo,19,18.94736842105263,34.66902990136718
0.279,roundrobin,19,18.94736842105263,34.443095126953125
0.279,random,19,18.94736842105263,34.668743193359376
0.279,sticky,20,18.0,36.60725743261719
0.279,fifo,20,18.0,36.60697005273437
0.279,roundrobin,20,18.0,36.34118131738281
